F01219+0331 01 21 59.1 +03 31 52    0.910    3.040    31.550    46.560 01 21 59.7 +03 31 52    76
F01310+3024 01 31 05.1 +30 24 48   32.690   40.260   419.700  1256.000                       1300
F01317-3644 01 31 43.6 -36 44 56    0.201    0.153     1.647     5.389 01 31 43.5 -36 44 57  4080
F01319-2940 01 31 59.0 -29 40 31    0.997    2.447    22.010    49.950 01 31 59.4 -29 40 27    85
F01339+1532 01 33 59.9 +15 32 12    2.070    1.900    20.860    65.640                         59
F01348+3254 01 34 48.3 +32 54 08 <  0.068 <  0.161     0.740 <   1.146 01 34 49.8 +32 54 21  5600
F01403+1323 01 40 21.4 +13 23 40    2.310    7.050    67.270   104.900 01 40 21.7 +13 23 40   187
F01417+1651 01 41 47.4 +16 51 02 <  0.100    1.000    11.860    13.750 01 41 47.9 +16 51 06    28
F01475-0740 01 47 33.8 -07 40 33    0.308 <  0.959     1.048     0.648 01 47 33.0 -07 40 40   205
F01477-1655 01 47 42.3 -16 55 17 <  0.141    0.288     0.275 <   0.389 01 47 41.7 -16 55 25   188
F01479+0553 01 47 54.1 +05 53 53    0.280    0.490     6.860    11.230 01 47 54.0 +05 53 51    33
F01484+2220 01 48 28.1 +22 20 10    0.490    0.810     7.610    13.800 01 48 27.7 +22 20 06    25
F01565+1845 01 56 34.5 +18 45 51    1.120    0.910     6.780    24.110 01 56 35.0 +18 45 56    27
F02070+3857 02 07 05.9 +38 57 11    0.700    1.029    10.890    22.830 02 07 07.0 +38 57 17    47
F02079+3725 02 07 59.6 +37 25 51    0.370    0.747     6.427    12.540 02 08 00.0 +37 25 43    26
F02114+0456 02 11 27.1 +04 56 21    0.260    0.620     5.180     8.280 02 11 28.5 +04 56 27    25
F02152+1418 02 15 15.9 +14 18 41    0.870    1.400    11.760    23.340 02 15 15.9 +14 18 55    40
F02194+4207 02 19 24.7 +42 07 40    5.660    7.780    61.100   198.600 02 19 24.3 +42 07 15   337
F02208+4744 02 20 50.4 +47 44 32    0.362    0.987     9.919    13.480 02 20 51.2 +47 44 36    30
F02312+2905 02 31 16.6 +29 05 34    1.739    2.829    31.090    56.820 02 31 16.4 +29 05 34   110
F02345+2053 02 34 35.1 +20 53 02    0.560    1.640    10.960    15.630 02 34 35.6 +20 53 04    39
F02358+1623 02 35 52.3 +16 23 55 <  0.111 <  0.107     0.234 <   0.907 02 35 52.6 +16 24 04  1730
F02367+0052 02 36 47.9 +00 52 39 <  0.090 <  0.212     0.217 <   1.309 02 36 49.1 +00 52 45    44
F02386-0828 02 38 35.7 -08 28 13    0.203    0.491     0.903     1.515 02 38 37.3 -08 28 09  2480
F02391+0013 02 39 10.3 +00 13 50    2.200    2.890    23.270    60.090 02 39 11.1 +00 13 51    74
F02401-0013 02 40 07.7 -00 13 29   36.100   84.250   182.000   236.900 02 40 07.1 -00 13 31  1760
F02435-0747 02 43 31.9 -07 47 15    1.960    3.190    29.300    53.400 02 43 32.1 -07 47 17   103
F02435+1253 02 43 33.1 +12 53 11    0.380    0.630     8.160    15.220 02 43 33.6 +12 53 11    34
F02441-3029 02 44 10.8 -30 29 02    2.880    7.700    46.730   116.300 02 44 11.1 -30 29 00   130
F02474+4127 02 47 25.9 +41 27 50    0.111    0.421     1.231     1.662 02 47 26.9 +41 27 56    48
F02483+4302 02 48 20.1 +43 02 52 <  0.065    0.190     4.023     6.916 02 48 18.5 +43 02 57  1414
F02509+1248 02 50 56.2 +12 48 39    0.510    1.150     8.990    16.070 02 50 57.3 +12 48 41    33
F02568+3637 02 56 49.4 +36 37 19    0.447    2.263    10.980    12.150 02 56 49.9 +36 37 20    35
F03079-3031 03 07 55.1 -30 31 03 <  0.088    0.187     0.242 <   0.363                        470
F03117+4151 03 11 42.3 +41 51 02    0.443    1.412     8.166    11.110 03 11 42.7 +41 51 03    44
F03164+4119 03 16 28.1 +41 19 47    1.069    3.539     7.146     6.981 03 16 29.6 +41 19 52 42370
F03169+1850 03 16 59.7 +18 50 40 <  0.069 <  0.179     0.257 <   1.180 03 17 00.0 +18 50 42   667
F03207-3723 03 20 46.8 -37 23 09    0.322    0.249     2.977     7.331 03 20 47.2 -37 23 07
F03265-2852 03 26 30.8 -28 52 16 <  0.063    0.244     0.465     0.465 03 26 31.6 -28 52 11   507
F03316-3618 03 31 41.9 -36 18 24    4.420   13.070    84.200   185.400 03 31 41.9 -36 18 23   210
F03324+7224 03 32 27.5 +72 24 31    0.235    0.411     3.747     8.335 03 32 25.5 +72 24 24    34
F03384-2129 03 38 25.4 -21 29 03 <  0.101 <  0.140     0.235 <   0.801 03 38 23.3 -21 29 08   796
F03419+6756 03 41 58.3 +67 56 30   23.660   45.200   256.000   661.700 03 41 56.1 +67 56 26   620
F03432+6958 03 43 12.2 +69 58 49    1.348    2.734    30.270    78.270 03 43 13.7 +69 58 44   135
F03451+6956 03 45 07.6 +69 56 35    1.615    6.256    37.990    47.960 03 45 07.2 +69 56 34    92
F03524-2038 03 52 27.4 -20 38 52    1.550    4.730    35.330    45.750 03 52 26.6 -20 38 53   102
F04097+0525 04 09 43.0 +05 25 10    0.570    0.860     8.700    17.320 04 09 43.0 +05 25 12    28
F04207-0127 04 20 43.7 -01 27 28    0.083    0.175     0.446 <   1.726 04 20 43.5 -01 27 29  3700
F04260+6444 04 26 05.0 +64 44 31    0.794    7.087    45.410    47.290 04 26 04.2 +64 44 31   202
F04296+2923 04 29 41.2 +29 23 42    1.217    5.987    38.180    44.980 04 29 39.8 +29 23 39    67
F04305+0514 04 30 31.1 +05 15 00    0.286    0.635     1.283     2.786 04 30 31.6 +05 15 00  3486
F04326+1904 04 32 38.6 +19 04 09    0.383    0.804     6.315    12.530 04 32 38.5 +19 04 10    31
F04500-0311 04 50 01.4 -03 11 13 <  0.089 <  0.113     0.776     2.398 04 50 00.8 -03 11 20   103
F05059-3734 05 05 58.5 -37 34 39    4.435   16.140    87.810   137.200 05 05 58.5 -37 34 39   154
F05179+0845 05 17 55.9 +08 45 34    0.339    0.686     5.753    26.090 05 17 56.9 +08 45 34    30
F05212-3630 05 21 12.7 -36 30 14    0.083    0.158     0.307 <   0.787 05 21 13.0 -36 30 17  9540
F05246+0103 05 24 41.1 +01 03 32    0.173    0.544     2.474     2.415 05 24 41.1 +01 03 32   177
F05365+6921 05 36 33.5 +69 21 03    0.551    0.554     6.382    21.610 05 36 34.0 +69 21 04    60
F05414+5840 05 41 25.3 +58 40 50    0.501    0.813    14.450    29.260 05 41 24.7 +58 40 52    46
F05497-0728 05 49 47.3 -07 28 02    0.349    0.840     4.129     5.676 05 49 46.3 -07 28 03   163
F05511+4625 05 51 10.0 +46 25 51    0.639    1.948     3.005     4.235 05 51 09.7 +46 25 51    86
F05576+6522 05 57 38.6 +65 22 14    0.144    0.190     0.972     2.848 05 57 38.6 +65 22 17    51
F06098+7103 06 09 49.1 +71 03 11    0.713    2.896     3.770     3.361 06 09 48.3 +71 03 10   353
F06142-2121 06 14 15.2 -21 21 13    0.881    1.548    14.550    37.990                         94
F06343-2032 06 34 22.3 -20 32 14 <  0.100    0.222     0.484 <   1.150 06 34 23.2 -20 32 15  3650
F06456+6054 06 45 36.8 +60 54 13    0.400    1.362     6.021    10.000 06 45 37.6 +60 54 12    25
F06457+7429 06 45 44.7 +74 29 09    0.224    0.687     1.183     1.658 06 45 44.0 +74 29 10   115
F06538+4628 06 53 52.1 +46 28 11    0.291    1.207     8.031    10.890 06 53 52.6 +46 28 13    25
F07054+1851 07 05 25.3 +18 51 34    0.598    2.147    17.470    31.430 07 05 25.0 +18 51 36    36
F07144+4410 07 14 27.3 +44 10 55 <  0.145    0.289     0.278 <   1.207 07 14 25.4 +44 10 55    33
F07157+4039 07 15 42.4 +40 39 15 <  0.101 <  0.110     0.530     1.216 07 15 40.7 +40 39 15    26
F07162+7126 07 16 12.5 +71 26 14 <  0.112    0.126     0.237 <   0.783 07 16 13.0 +71 26 15   788
F07224+3003 07 22 28.6 +30 03 13    0.181    0.479     3.014     3.919 07 22 27.6 +30 03 14    65
F07256+3355 07 25 38.8 +33 55 19    0.452    2.078    16.000    23.660 07 25 38.1 +33 55 21    27
F07320+6543 07 32 02.2 +65 43 11    3.340    6.290    51.550   148.500                        138
F07325+2517 07 32 35.0 +25 17 20 <  0.101 <  0.175     0.240     0.639 07 32 37.2 +25 17 00    65
F07336+3521 07 33 39.0 +35 21 16    0.422    0.910     8.567    12.890 07 33 39.5 +35 21 15    26
F07352+1749 07 35 14.8 +17 49 09    0.187    0.191     0.252 <   0.520 07 35 14.1 +17 49 09  2166
F07543+1004 07 54 21.0 +10 04 05    0.089    0.235     0.206     0.436 07 54 22.6 +10 04 40   771
F07552+1449 07 55 13.0 +14 49 58 <  0.111 <  0.190     0.395     0.818 07 55 14.4 +14 49 51    27
F08014+0515 08 01 27.3 +05 15 19    0.496    2.075     1.892     1.304 08 01 26.9 +05 15 21    56
F08064-1018 08 06 29.7 -10 18 47    0.090    0.337     0.534     0.869 08 06 30.3 -10 18 50  1650
F08079+2822 08 07 58.0 +28 22 34 <  0.068 <  0.170     0.284     0.519 08 07 59.1 +28 22 43    47
F08147+3137 08 14 47.9 +31 37 54 <  0.189 <  0.271     0.646 <   0.548 08 14 47.4 +31 37 50    40
F08291+0439 08 29 10.8 +04 39 52    0.173    0.256     0.428 <   0.773 08 29 10.9 +04 39 51  2136
F08352+2504 08 35 12.7 +25 04 18 <  0.134 <  0.336     0.428     1.031 08 35 13.0 +25 04 17    32
F08354+2555 08 35 25.0 +25 55 51    0.240    1.850    25.720    27.360 08 35 25.3 +25 55 50    59
F08369+2959 08 39 57.7 +29 59 44 <  0.114 <  0.242     0.453 <   0.723 08 36 58.7 +29 59 36   269
F08400+5023 08 40 04.1 +50 23 09    0.162    0.209     1.988     7.056 08 40 03.1 +50 23 11    42
F08425+7416 08 42 34.1 +74 16 57    0.870    2.460    17.270    27.470 08 42 33.8 +74 16 58    41
F08495+3336 08 49 33.9 +33 36 44    0.930    0.520     8.330    34.020 08 49 35.0 +33 36 41    27
F08519+2017 08 51 57.6 +20 18 00    0.284    0.433     0.891     1.158 08 51 57.3 +20 17 58  2689
F08544+2100 08 54 29.0 +21 00 31 <  0.127 <  0.287     0.762     0.976 08 54 28.8 +21 00 29    28
F08563+6058 08 56 18.3 +60 58 47 <  0.082 <  0.099     0.784     0.836 08 56 16.5 +60 58 45    68
F09018+1447 09 01 49.4 +14 47 37    0.180    0.502     4.123     6.978 09 01 48.8 +14 47 38    27
F09067+1940 09 06 46.8 +19 40 28 <  0.163 <  0.140     0.252     0.826 09 06 47.6 +19 40 20   109
F09109+4019 09 10 54.2 +40 19 13    0.710    1.580     9.600    14.650 09 10 53.6 +40 19 15    49
F09120+4107 09 12 04.4 +41 07 27    0.520    1.030     9.210    16.780 09 12 03.1 +41 07 32    27
F09136+0043 09 13 37.2 +00 43 28 <  0.089 <  0.068     0.180 <   0.948 09 13 33.9 +00 43 49    34
F09141+4212 09 14 11.1 +42 12 28    0.800    3.230    22.080    31.390 09 14 09.5 +42 12 35    37
F09165-0726 09 16 33.9 -07 26 29 <  0.086 <  0.074     0.267 <   0.712 09 16 33.9 -07 26 25   156
F09173+7203 09 17 19.8 +72 03 49 <  0.086 <  0.134     0.577     1.576 09 17 18.8 +72 03 25    32
F09177+6428 09 17 43.6 +64 28 12    0.190    0.460     4.230    10.330 09 17 44.0 +64 28 19    25
F09186+5111 09 18 37.0 +51 11 09    0.900    0.830     4.410    24.210 09 18 36.0 +51 11 23    30
F09288+7229 09 28 48.7 +72 29 26 <  0.094 <  0.086     0.607 <   1.385 09 28 45.2 +72 29 33    25
F09293+2143 09 29 20.7 +21 43 22    5.000    7.640    52.380   147.400 09 29 20.3 +21 43 21   143
F09311+1022 09 31 06.6 +10 22 37 <  0.081 <  0.241     0.219 <   0.811 09 31 05.1 +10 22 33    73
F09320+6134 09 32 01.9 +61 34 47    0.260    1.080    13.030    21.250 09 32 04.8 +61 34 37    79
F09323+0732 09 32 21.1 +07 32 51 <  0.105 <  0.147     0.259 <   0.587 09 32 22.1 +07 32 42   353
F09359+3554 09 35 54.9 +35 54 59 <  0.059 <  0.114     0.199 <   0.690 09 35 54.0 +35 55 02    32
F09399+3204 09 39 57.9 +32 04 28    0.760    1.820    12.470    24.140 09 39 56.8 +32 04 34    33
F09431+6809 09 43 08.9 +68 09 04    0.900    1.700    12.730    34.580                         29
F09436+0556 09 43 39.4 +05 56 29    0.290    0.590     5.490    10.160 09 43 39.7 +05 56 26    29
F09437+0317 09 43 44.5 +03 17 15    0.540    0.520     5.350    12.430                         25
F09446+1359 09 44 36.8 +13 59 21 <  0.100    0.192     0.466     0.654 09 44 35.6 +13 59 16    27
F09510+0149 09 51 05.2 +01 49 04    0.580    1.160    10.470    21.160 09 51 06.1 +01 48 57    43
F09514+6918 09 51 27.7 +69 18 09    5.860    5.420    44.730   174.000 09 51 27.5 +69 18 09   177
F09517+6954 09 51 44.4 +69 54 55   66.610  285.000  1271.000  1351.000 09 51 43.3 +69 55 01  4310
F09585+5555 09 58 35.1 +55 55 19    2.620    3.580    50.170   103.400 09 58 35.2 +55 55 16   327
F09589+2901 09 58 56.8 +29 01 41    0.160    0.257     0.231 <   0.344                       1546
F10116+0342 10 11 39.6 +03 42 52    1.220    0.920     8.060    21.880 10 11 39.5 +03 42 52    46
F10126+7338 10 12 41.6 +73 38 52    0.930    1.080     8.400    29.960 10 12 39.9 +73 39 01    47
F10170+6451 10 17 05.3 +64 51 18 <  0.095 <  0.062     0.860     1.238 10 17 06.8 +64 51 10    82
F10196+2149 10 19 36.0 +21 49 18    0.580    0.910     7.440    19.560 10 19 34.9 +21 49 25    42
F10207+2007 10 20 47.0 +20 07 06    0.930    1.850     8.320    18.440 10 20 46.8 +20 07 06    46
F10356+5345 10 35 40.0 +53 45 47    1.630    5.280    34.130    47.950 10 35 40.0 +53 45 48   152
F10407+2511 10 40 47.3 +25 11 02    0.960    1.320     9.270    27.960 10 40 47.1 +25 11 03    26
F10413+1157 10 41 19.7 +11 57 56    1.070    2.860    19.920    39.230 10 41 19.3 +11 57 56    28
F10418+1153 10 41 51.8 +11 53 52 <  0.116 <  0.162     0.263 <   0.431                         96
F10439+1400 10 43 56.1 +14 00 52    0.490    1.460     6.060    12.490 10 43 55.6 +14 00 52    36
F10470+3315 10 47 04.9 +33 15 12    0.430    1.420    10.770    17.460                         29
F10489+3310 10 48 58.8 +33 10 02    0.530    0.910     8.630    18.180 10 48 59.6 +33 09 59    32
F10497+3653 10 49 43.8 +36 53 21    0.260    0.390     8.550    16.440 10 49 43.7 +36 53 21    35
F10498+2311 10 49 53.8 +23 12 00    0.710    1.190    12.150    20.620 10 49 53.6 +23 11 58    37
F11004+2814 11 00 27.8 +28 14 36    1.130    4.210    22.700    35.700 11 00 28.5 +28 14 31   117
F11032+0014 11 03 15.4 +00 13 58    4.910    4.360    44.020   124.800 11 03 14.8 +00 14 07   219
F11085+2858 11 08 31.6 +28 58 56    0.098    0.549     4.187     6.722                         70
F11085+5556 11 08 35.8 +55 56 45    2.250    4.090    32.190    80.770 11 08 35.4 +55 56 46    91
F11113+4835 11 11 20.6 +48 35 33    0.680    0.740     7.180    19.500                         30
F11120+1305 11 12 00.1 +13 05 25    1.470    1.870    18.270    36.000 11 12 00.0 +13 05 27    45
F11158-3232 11 15 50.9 -32 32 22    3.470    5.090    29.620    90.120 11 15 51.6 -32 32 26    80
F11176+1315 11 17 38.5 +13 16 00    4.170    7.720    56.310   145.000 11 17 38.6 +13 15 54   141
F11176+1351 11 17 40.1 +13 51 49    3.080    5.300    48.510   122.200 11 17 40.3 +13 51 46   250
F11182+5326 11 18 12.1 +53 26 42    1.130    1.430     9.580    26.770 11 18 13.4 +53 26 38    31
F11220+3902 11 22 00.1 +39 02 22    0.112    0.162     1.921     6.346 11 22 01.2 +39 02 16    49
F11234+4351 11 23 25.7 +43 51 32    1.560    1.650    10.780    34.790 11 23 25.2 +43 51 38    27
F11246+5709 11 24 41.6 +57 09 16    1.190    1.510    14.190    31.250 11 24 42.3 +57 09 12    45
F11257+5850 11 25 43.3 +58 50 12    3.900   24.140   121.600   122.500 11 25 44.1 +58 50 18   300
F11270+0031 11 27 03.9 +00 31 24 <  0.085 <  0.226     0.226     0.569 11 27 02.1 +00 31 49   340
F11330+7048 11 33 02.5 +70 48 44    0.680    1.170     7.370    19.540 11 33 02.3 +70 48 45    28
F11383+1144 11 38 23.2 +11 44 55    1.460    1.570    13.990    35.080 11 38 23.7 +11 44 54    46
F11412+2014 11 41 13.9 +20 14 43    0.126 <  0.147     1.525     2.880 11 41 13.4 +20 14 46    27
F11445-3755 11 44 30.9 -37 55 33 <  0.086    0.151     0.291 <   0.982 11 44 30.9 -37 55 31  2010
F11459+4859 11 45 59.9 +48 59 24    1.450    1.770    15.070    39.260 11 46 00.0 +48 59 22    50
F11494+7053 11 49 30.0 +70 53 30 <  0.062    0.072     0.296 <   0.670 11 49 33.0 +70 52 57    33
F11510+4808 11 51 05.7 +48 08 14    0.790    1.380    11.370    26.520 11 51 05.7 +48 08 13    37
F11550+3233 11 55 01.8 +32 33 23    0.460    0.820     8.260    16.940 11 55 02.4 +32 33 21    25
F11553+5543 11 55 21.7 +55 43 53    0.138    0.159     0.439     0.932 11 55 20.9 +55 43 55    85
F11593-1836 11 59 21.3 -18 36 01    2.470    6.580    48.680    82.040                        197
F11596+6224 11 59 38.9 +62 24 54    1.100    1.640    14.510    34.210 11 59 39.0 +62 24 56    43
F12006+4448 12 00 36.6 +44 48 33    1.400    2.190    10.380    23.910 12 00 36.3 +44 48 30    31
F12030+5049 12 03 02.2 +50 49 12    2.050    3.430    26.560    60.830 12 03 02.2 +50 49 14    67
F12038+5259 12 03 52.0 +52 59 17    1.770    7.090    50.560    75.720 12 03 51.3 +52 59 21    97
F12085+5045 12 08 34.1 +50 45 44    1.750    2.170    17.650    49.950 12 08 33.2 +50 45 44    60
F12112+1510 12 11 15.3 +15 10 40    0.650    0.360     7.190    23.180 12 11 15.8 +15 10 32    33
F12116+5448 12 11 40.2 +54 48 20    0.840    4.570    25.660    26.210 12 11 41.2 +54 48 16    39
F12131+3636 12 13 09.0 +36 36 07    0.610    2.360    17.870    29.040 12 13 09.3 +36 36 08    45
F12133+4722 12 13 21.6 +47 22 06    0.470    0.481     8.895    35.360 12 13 21.4 +47 22 06    40
F12163+1441 12 16 18.3 +14 41 31    3.720    4.480    34.760    92.770 12 16 17.6 +14 41 32   139
F12173-3541 12 17 20.9 -35 41 06 <  0.186    0.168     2.248     4.369 12 17 21.3 -35 40 57   130
F12173+0537 12 17 22.2 +05 37 18    0.790    1.690    10.520    21.020 12 17 22.8 +05 37 15    25
F12176+2933 12 17 36.3 +29 33 30 <  0.130 <  0.085     0.557     1.569 12 17 36.2 +29 33 29   330
F12193+0445 12 19 22.1 +04 45 02    3.210    4.900    37.530    79.650 12 19 21.7 +04 45 02   157
F12203+1605 12 20 22.0 +16 05 59    2.480    3.220    25.860    69.290 12 20 22.9 +16 06 00    90
F12206+5843 12 20 36.6 +58 43 14 <  0.066 <  0.065     0.267     0.706 12 20 38.6 +58 43 18    80
F12225+1309 12 22 30.8 +13 09 50    0.165 <  0.210     0.502     0.980 12 22 31.6 +13 09 50  2860
F12232+1256 12 23 14.4 +12 56 22    1.060    3.420    10.050    17.400 12 23 14.6 +12 56 18    80
F12239+3130 12 23 57.6 +31 30 00    3.000    3.760    30.110    69.110 12 23 57.9 +31 30 02    78
F12244+1519 12 24 24.0 +15 19 31    0.720    1.690     7.670    15.600 12 24 24.7 +15 19 27    25
F12252+1317 12 25 13.3 +13 17 14    0.170    0.150     4.280    12.050 12 25 13.6 +13 17 10    73
F12265+0219 12 26 34.1 +02 19 37    0.548    0.896     2.060     2.891 12 26 33.3 +02 19 43 43600
F12281+4155 12 28 08.3 +41 55 25    1.850    4.950    47.790    85.940 12 28 08.5 +41 55 27   295
F12282+1240 12 28 16.5 +12 40 09    0.231    0.156     0.394 <   0.680 12 28 17.6 +12 40 01 70000
F12287+6605 12 28 46.9 +66 05 56 <  0.046 <  0.051     0.275     0.754 12 28 41.4 +66 06 30    62
F12294+1441 12 29 26.2 +14 41 53    2.130    2.950    17.560    63.650 12 29 27.4 +14 41 41    89
F12315+0255 12 31 36.6 +02 55 36    2.710    3.530    33.160    65.660 12 31 35.1 +02 55 46
F12317+0644 12 31 45.9 +06 44 43    0.290    0.830     8.930    15.530 12 31 46.8 +06 44 41    54
F12317+0828 12 31 47.6 +08 28 24    1.110    1.360    11.160    32.830 12 31 47.7 +08 28 25    38
F12319+0227 12 31 55.1 +02 27 40    1.600    3.900    28.660    44.630 12 31 53.7 +02 27 49
F12338+2615 12 33 51.9 +26 15 48    1.530    1.700     9.830    47.230 12 33 52.0 +26 15 46    50
F12340+1131 12 34 02.1 +11 31 02    2.000    2.580    20.360    56.810                         52
F12343+1326 12 34 19.0 +13 26 17    0.750    1.280     9.190    27.330 12 34 18.4 +13 26 20    31
F12351+1205 12 35 10.8 +12 05 44    1.110    0.760     5.850    20.860 12 35 12.3 +12 05 36    56
F12373+2229 12 37 22.0 +22 29 32 <  0.085 <  0.098     0.234 <   0.397                        115
F12374-1120 12 37 24.3 -11 20 58    0.386    0.497     3.113    14.130 12 37 23.4 -11 20 56   110
F12378+6152 12 37 48.3 +61 52 55    0.930    1.240    14.440    33.080 12 37 49.0 +61 52 53    47
F12396+3249 12 39 40.5 +32 49 02    5.480    9.650    82.900   208.700 12 39 41.9 +32 48 57   420
F12410+1151 12 41 00.8 +11 51 24    0.980    0.780     5.350    16.040                         37
F12414+1324 12 41 25.5 +13 24 06    1.190    1.910    13.930    37.160 12 41 24.9 +13 24 09    48
F12415+3226 12 41 31.6 +32 26 58    0.100    0.300     5.900    11.460 12 41 32.1 +32 26 46    29
F12425-0011 12 42 33.9 -00 11 17    3.280    3.680    37.340    82.880 12 42 34.7 -00 11 22   210
F12440-2531 12 44 05.4 -25 31 19 <  0.127    0.163     0.408     0.873 12 44 06.7 -25 31 27  1700
F12485+4123 12 48 31.5 +41 23 34    4.770    6.830    62.410   135.300 12 48 32.4 +41 23 27   119
F12522+2912 12 52 15.7 +29 12 37    1.130    1.630    12.490    27.990 12 52 15.9 +29 12 36    46
F12535-0530 12 53 32.9 -05 30 46 <  0.117 <  0.213     0.253 <   0.670 12 53 35.8 -05 31 08 10500
F12540+5708 12 54 05.5 +57 08 34    1.930    8.800    35.400    32.280 12 54 05.0 +57 08 38   419
F12542+2157 12 54 15.4 +21 57 18    1.710    2.000    33.860    77.380 12 54 16.3 +21 57 13    56
F12597+1643 12 59 43.4 +16 43 12 <  0.128 <  0.174     0.395     0.649 12 59 43.6 +16 43 15    27
F13059-2406 13 05 58.7 -24 06 52 <  0.145    0.671     1.440     1.490 13 05 59.6 -24 06 59   213
F13080+3237 13 08 05.4 +32 37 01    0.114    0.271     0.420     0.576 13 08 07.6 +32 36 40  1131
F13086+3719 13 08 37.5 +37 19 27    1.750    2.320    22.300    64.160 13 08 37.6 +37 19 28    62
F13111+3651 13 11 09.1 +36 51 32    1.380    1.770    17.200    51.050 13 11 09.1 +36 51 32    70
F13126+2453 13 12 38.5 +24 53 05 <  0.120    1.250    17.660    17.660 13 12 39.5 +24 52 58    38
F13135+4217 13 13 35.4 +42 17 27    5.560    7.000    40.020   157.700 13 13 34.8 +42 17 34   127
F13136+6223 13 13 41.7 +62 23 15    0.350    1.960    12.010    12.920 13 13 41.8 +62 23 18    27
F13170-2708 13 17 04.7 -27 08 53    0.687    0.715     9.967    29.760 13 17 04.7 -27 08 53   195
F13182+3424 13 18 15.8 +34 24 11    0.260    1.370    13.690    24.900 13 18 17.0 +34 24 05    46
F13184+0914 13 18 28.7 +09 14 31 <  0.098    0.266     2.163     4.603 13 18 29.5 +09 14 24    55
F13197-1627 13 19 42.8 -16 27 54    0.878    2.855     5.895     5.476 13 19 43.8 -16 28 04   101
F13277+4727 13 27 47.0 +47 27 13   11.020   17.470   108.700   292.100 13 27 46.3 +47 27 14   410
F13334-0814 13 33 29.6 -08 14 30    0.164    0.239     0.732     2.549 13 33 30.5 -08 14 34   650
F13341-2936 13 34 09.6 -29 36 30   26.280   47.720   266.000   638.600 13 34 11.2 -29 36 40   770
F13350+0908 13 35 02.2 +09 08 29    1.840    2.950    20.710    49.080 13 35 02.6 +09 08 23    49
F13362+4831 13 36 15.9 +48 31 39    0.280    1.130     7.190    10.350 13 36 14.7 +48 31 49    49
F13384+4503 13 38 29.2 +45 03 34 <  0.046    0.129     0.319 <   0.470 13 38 29.5 +45 03 26    97
F13428+5608 13 42 51.6 +56 08 14    0.230    2.300    22.090    22.440 13 42 51.6 +56 08 14   103
F13443+1439 13 44 24.0 +14 39 03    0.203    0.749     3.455     5.413 13 44 23.4 +14 38 59    83
F13451+1232 13 45 06.2 +12 32 18 <  0.091    0.670     1.916     2.059 13 45 06.2 +12 32 20  3092
F13468+4013 13 46 48.1 +40 13 58    0.117 <  0.080     0.468     1.927 13 46 47.8 +40 14 00    53
F13470+3530 13 47 02.6 +35 30 12    0.270    0.370     5.900    14.320 13 47 01.8 +35 30 17    29
F13475+6026 13 47 33.8 +60 26 19 <  0.065 <  0.055     0.405     0.788 13 44 34.9 +60 26 18    47
F13500+3141 13 50 04.4 +31 41 11 <  0.056 <  0.102     0.353     0.717 13 50 03.2 +31 41 33  1936
F13513+4031 13 51 22.4 +40 31 37 <  0.144 <  0.079     0.299 <   1.670 13 51 19.7 +40 31 43    35
F13514+6556 13 51 26.3 +65 56 16 <  0.047    0.111     0.283 <   0.328 13 51 27.0 +65 55 57    67
F13535+4042 13 53 32.9 +40 42 14    0.820    1.020     5.400    18.160 13 53 32.7 +40 42 10    25
